Name,Stadium,Country,Logo
Bradford City,Valley Parade,England,https://cdn.sofifa.org/24/18/teams/1804.png
Brentford,Griffin Park,England,https://cdn.sofifa.org/24/18/teams/1925.png
Charlton Athletic,The Valley ,England,https://cdn.sofifa.org/24/18/teams/89.png
Colchester United,Colchester Community Stadium,England,https://cdn.sofifa.org/24/18/teams/1935.png
Crewe Alexandra,Alexandra Stadium,England,https://cdn.sofifa.org/24/18/teams/121.png
Grimsby Town,Blundell park,England,https://cdn.sofifa.org/24/18/teams/92.png
Luton Town,Kenilworth Road,England,https://cdn.sofifa.org/24/18/teams/1923.png
Oldham Athletic,Boundary Park,England,https://cdn.sofifa.org/24/18/teams/1920.png
Oxford United,Kassam Stadium,England,https://cdn.sofifa.org/24/18/teams/1951.png
Plymouth Argyle,Home Park,England,https://cdn.sofifa.org/24/18/teams/1929.png
Rotherham United,New York Stadium,England,https://cdn.sofifa.org/24/18/teams/1797.png
Scunthorpe United,Glanford Park,England,https://cdn.sofifa.org/24/18/teams/1949.png
Sheffield United,Bramall Lane,England,https://cdn.sofifa.org/24/18/teams/1794.png
Sheffield Wednesday,Hillsborough,England,https://cdn.sofifa.org/24/18/teams/1807.png
Southend United,Roots Hall,England,https://cdn.sofifa.org/24/18/teams/1954.png
Swindon Town,County Ground,England,https://cdn.sofifa.org/24/18/teams/1934.png
Yeovil Town,Huish Park,England,https://cdn.sofifa.org/24/18/teams/346.png
